Ambient air temperature. :  0.0,TimeStamp:108712672154063,TimeStamp In Milliseconds1567021771535
Ambient air temperature. :  0.0,TimeStamp:108712681980063,TimeStamp In Milliseconds1567021771544
Ambient air temperature. :  0.0,TimeStamp:108712692059063,TimeStamp In Milliseconds1567021771554
Ambient air temperature. :  0.0,TimeStamp:108712704825063,TimeStamp In Milliseconds1567021771567
Ambient air temperature. :  0.0,TimeStamp:108712712160063,TimeStamp In Milliseconds1567021771574
Ambient air temperature. :  0.0,TimeStamp:108712722160063,TimeStamp In Milliseconds1567021771584
Ambient air temperature. :  0.0,TimeStamp:108712731821063,TimeStamp In Milliseconds1567021771594
Ambient air temperature. :  0.0,TimeStamp:108712742115063,TimeStamp In Milliseconds1567021771604
Ambient air temperature. :  0.0,TimeStamp:108712752825063,TimeStamp In Milliseconds1567021771615
Ambient air temperature. :  0.0,TimeStamp:108712762210063,TimeStamp In Milliseconds1567021771624
Ambient air temperature. :  0.0,TimeStamp:108712772860063,TimeStamp In Milliseconds1567021771635
Ambient air temperature. :  0.0,TimeStamp:108712781949063,TimeStamp In Milliseconds1567021771644
Ambient air temperature. :  0.0,TimeStamp:108712793318063,TimeStamp In Milliseconds1567021771656
Ambient air temperature. :  0.0,TimeStamp:108712801838063,TimeStamp In Milliseconds1567021771664
Ambient air temperature. :  0.0,TimeStamp:108712812048063,TimeStamp In Milliseconds1567021771674
Ambient air temperature. :  0.0,TimeStamp:108712822114063,TimeStamp In Milliseconds1567021771684
Ambient air temperature. :  0.0,TimeStamp:108712832064063,TimeStamp In Milliseconds1567021771694
Ambient air temperature. :  0.0,TimeStamp:108712842160063,TimeStamp In Milliseconds1567021771704
Ambient air temperature. :  0.0,TimeStamp:108712852242063,TimeStamp In Milliseconds1567021771715
Ambient air temperature. :  0.0,TimeStamp:108712863218063,TimeStamp In Milliseconds1567021771726
Ambient air temperature. :  0.0,TimeStamp:108712872309063,TimeStamp In Milliseconds1567021771735
Ambient air temperature. :  0.0,TimeStamp:108712883301063,TimeStamp In Milliseconds1567021771745
Ambient air temperature. :  0.0,TimeStamp:108712892102063,TimeStamp In Milliseconds1567021771754
Ambient air temperature. :  0.0,TimeStamp:108712902483063,TimeStamp In Milliseconds1567021771764
Ambient air temperature. :  0.0,TimeStamp:108712912294063,TimeStamp In Milliseconds1567021771775
Ambient air temperature. :  0.0,TimeStamp:108712922347063,TimeStamp In Milliseconds1567021771785
Ambient air temperature. :  0.0,TimeStamp:108712933781063,TimeStamp In Milliseconds1567021771796
Ambient air temperature. :  0.0,TimeStamp:108712942068063,TimeStamp In Milliseconds1567021771804
Ambient air temperature. :  0.0,TimeStamp:108712952416063,TimeStamp In Milliseconds1567021771815
Ambient air temperature. :  0.0,TimeStamp:108712962207063,TimeStamp In Milliseconds1567021771825
Ambient air temperature. :  0.0,TimeStamp:108712972595063,TimeStamp In Milliseconds1567021771835
Ambient air temperature. :  0.0,TimeStamp:108712983424063,TimeStamp In Milliseconds1567021771846
Ambient air temperature. :  0.0,TimeStamp:108712992515063,TimeStamp In Milliseconds1567021771855
Ambient air temperature. :  0.0,TimeStamp:108713002523063,TimeStamp In Milliseconds1567021771865
